"year","sex","birth.year","mean.ep","n.ep","age","pregnancy","num.offspring","num.births","num.sons","num.daughters","has.son","has.adultson","salmon","pregnancy.simple","has.offspring","check","gave.birth","menopause","whale.id","matriline"
2019,"f",1975,1.16231867,7,44,"Not pregnant",5,5,2,3,"yes","yes",0.853333333,"Not pregnant","yes","y","n","post","W65","M14"
2021,"f",2004,1.162170564,6,17,"Not pregnant",1,1,1,0,"yes","no",1.056666667,"Not pregnant","yes","y","y","pre","W29","M3"
2014,"f",1969,1.172984067,4,45,"Pregnant - early stages",3,3,2,1,"yes","yes",1.706666667,"Not pregnant","yes","corrected - I16 gave birth in 2015","y","pre","W72","M37"
2015,"f",1969,1.182952455,4,46,"Pregnant",3,3,2,1,"yes","yes",1.563333333,"Not pregnant","yes","corrected - I16 gave birth in 2016","y","pre","W72","M37"
2016,"f",1969,1.142173289,8,47,"Nursing 1",4,4,2,1,"yes","yes",1.246666667,"Pregnant","yes","corrected - I16 gave birth in 2017","y","pre","W72","M37"
2017,"f",1969,1.170894506,6,48,"Nursing 2",4,4,2,1,"yes","yes",1.03,"Nursing","yes","corrected - I16 gave birth in 2018","y","pre","W72","M37"
2014,"f",1974,1.199787546,3,40,"Pregnant - early stages",2,3,2,0,"yes","yes",1.706666667,"Not pregnant","yes","corrected - I27 gave birth to I153 in 2016","y","pre","W9","M8"
2015,"f",1974,1.198348762,3,41,"Pregnant",2,3,2,0,"yes","yes",1.563333333,"Not pregnant","yes","corrected - I27 gave birth to I153 in 2016","y","pre","W9","M8"
2016,"f",1974,1.163530325,3,42,"Nursing 1",3,4,2,0,"yes","yes",1.246666667,"Not pregnant","yes","corrected - I27 gave birth to I153 in 2016","y","pre","W9","M8"
2017,"f",1974,1.189129899,22,43,"Nursing 2",2,4,2,0,"yes","yes",1.03,"Not pregnant","yes","corrected - I27 gave birth to I153 in 2016","y","pre","W9","M8"
2020,"f",1990,1.16084018,3,30,"Not pregnant",0,0,0,0,"no offspring","no offspring",0.98,"Not pregnant","no","y","n","pre","W73","M38"
2023,"f",2008,1.160681321,3,15,"Not pregnant",0,0,0,0,"no offspring","no offspring",1.11,"Not pregnant","no","change","n","pre","W71","M3"
2018,"f",1997,1.159956386,3,21,"Not pregnant",2,2,1,1,"yes","no",0.8,"Not pregnant","yes","y","y","pre","W20","M1"
2015,"f",2003,1.159797556,4,12,"Not pregnant",0,0,0,0,"no offspring","no offspring",1.563333333,"Not pregnant","no","y","y","pre","W66","M15"
2017,"f",2004,1.157713552,13,13,"Not pregnant",1,1,0,0,"no","no",1.03,"Not pregnant","yes","y","y","pre","W74","M22"
2017,"f",1971,1.222406857,4,46,"Pregnant - early stages",3,3,2,1,"yes","yes",1.03,"Not pregnant","yes","corrected - I33 gave birth to I159 in 2019","y","pre","W75","M17"
2020,"f",1998,1.156961344,4,22,"Not pregnant",0,1,0,0,"no offspring","no offspring",0.98,"Not pregnant","no","y","y","pre","W45","M29"
2014,"f",2003,1.155486179,5,11,"Not pregnant",0,0,0,0,"no offspring","no offspring",1.706666667,"Not pregnant","no","y","y","pre","W66","M15"
2017,"f",2005,1.150228229,5,12,"Not pregnant",0,0,0,0,"no offspring","no offspring",1.03,"Not pregnant","no","y","y","pre","W30","M20"
2019,"f",2002,1.148390242,11,17,"Not pregnant",1,1,0,1,"no","no",0.853333333,"Not pregnant","yes","y","y","pre","W67","M25"
2023,"f",2012,1.147465967,4,11,"Not pregnant",0,0,0,0,"no offspring","no offspring",1.11,"Not pregnant","no","change","n","pre","W76","M12"
2017,"f",2007,1.146981422,2,10,"Not pregnant",0,0,0,0,"no offspring","no offspring",1.03,"Not pregnant","no","y","y","pre","W77","M7"
2023,"f",1986,1.146601601,7,37,"Not pregnant",4,4,1,3,"yes","yes",1.11,"Not pregnant","yes","y","y","pre","W68","M37"
2014,"f",2004,1.146388345,3,10,"Not pregnant",0,0,0,0,"no offspring","no offspring",1.706666667,"Not pregnant","no","change","y","pre","W29","M3"
2023,"f",2013,1.145754341,5,10,"Not pregnant",0,0,0,0,"no offspring","no offspring",1.11,"Not pregnant","no","change","n","pre","W78","M3"
2019,"f",2009,1.145418753,4,10,"Not pregnant",0,0,0,0,"no offspring","no offspring",0.853333333,"Not pregnant","no","change","n","pre","W70","M37"
2022,"f",2012,1.143902609,5,10,"Not pregnant",0,0,0,0,"no offspring","no offspring",1.036666667,"Not pregnant","no","change","n","pre","W76","M12"
2021,"f",1990,1.143297178,7,31,"Not pregnant",0,0,0,0,"no offspring","no offspring",1.056666667,"Not pregnant","no","y","n","pre","W73","M38"
2019,"f",2008,1.139531887,15,11,"Not pregnant",0,0,0,0,"no offspring","no offspring",0.853333333,"Not pregnant","no","change","n","pre","W71","M3"
2014,"f",1986,1.124345031,6,28,"Nursing 1",3,3,1,2,"yes","no",1.706666667,"Nursing","yes","y","y","pre","W68","M37"
2015,"f",1986,1.116255928,5,29,"Nursing 2",3,3,1,2,"yes","no",1.563333333,"Nursing","yes","y","y","pre","W68","M37"
2016,"f",1986,1.14809303,3,30,"Nursing 3",3,3,1,2,"yes","yes",1.246666667,"Not pregnant","yes","y","y","pre","W68","M37"
2022,"f",1999,1.138365563,10,23,"Not pregnant",1,1,1,0,"yes","no",1.036666667,"Not pregnant","yes","y","y","pre","W24","M9"
2018,"f",1986,1.140573224,6,32,"Pregnant - early stages",3,3,1,2,"yes","yes",0.8,"Not pregnant","yes","y","y","pre","W68","M37"
2019,"f",1986,1.150983128,2,33,"Pregnant",3,3,1,2,"yes","yes",0.853333333,"Pregnant","yes","y","y","pre","W68","M37"
2020,"f",1986,1.137881304,26,34,"Nursing 1",4,4,1,3,"yes","yes",0.98,"Nursing","yes","y","y","pre","W68","M37"
2018,"f",1998,1.135798218,1,20,"Not pregnant",1,1,0,0,"no","no",0.8,"Not pregnant","yes","y","y","pre","W45","M29"
2014,"f",1990,0.999016438,3,24,"Nursing 1",0,1,0,0,"no offspring","no offspring",1.706666667,"Not pregnant","no","corrected - gave birth to I143 in 2014","y","pre","W79","M8"
2014,"f",1990,1.171216743,7,24,"Nursing 1",3,3,1,0,"yes","no",1.706666667,"Nursing","yes","y","y","pre","W49","M32"
2015,"f",1990,1.152405957,4,25,"Nursing 2",2,3,1,0,"yes","no",1.563333333,"Nursing","yes","y","y","pre","W49","M32"
2016,"f",1990,1.186219727,5,26,"Nursing 3",2,3,1,0,"yes","no",1.246666667,"Not pregnant","yes","y","y","pre","W49","M32"
2017,"f",2007,1.129333948,3,10,"Not pregnant",0,0,0,0,"no offspring","no offspring",1.03,"Not pregnant","no","change","n","pre","W80","M4"
2019,"f",1990,1.182468447,12,29,"Pregnant",2,3,1,0,"yes","yes",0.853333333,"Pregnant","yes","y","y","pre","W49","M32"
2020,"f",1990,1.189869186,2,30,"Nursing 1",3,4,1,1,"yes","yes",0.98,"Nursing","yes","y","y","pre","W49","M32"
2021,"f",1990,1.17657521,27,31,"Nursing 2",3,4,1,1,"yes","yes",1.056666667,"Nursing","yes","y","y","pre","W49","M32"
2022,"f",1990,1.164901202,5,32,"Nursing 3",3,4,1,1,"yes","yes",1.036666667,"Not pregnant","yes","y","y","pre","W49","M32"
2018,"f",2008,1.129117173,1,10,"Not pregnant",0,0,0,0,"no offspring","no offspring",0.8,"Not pregnant","no","change","n","pre","W71","M3"
2017,"f",2002,1.12900104,12,15,"Not pregnant",1,1,0,1,"no","no",1.03,"Not pregnant","yes","y","y","pre","W67","M25"
2020,"f",1999,1.128707001,13,21,"Not pregnant",1,1,1,0,"yes","no",0.98,"Not pregnant","yes","y","y","pre","W24","M9"
2019,"f",2008,1.127088408,1,11,"Not pregnant",0,0,0,0,"no offspring","no offspring",0.853333333,"Not pregnant","no","change","n","pre","W81","M7"
2021,"f",1999,1.125274947,7,22,"Not pregnant",1,1,1,0,"yes","no",1.056666667,"Not pregnant","yes","y","y","pre","W24","M9"
2017,"f",1999,1.119147941,8,18,"Not pregnant",1,1,1,0,"yes","no",1.03,"Not pregnant","yes","y","y","pre","W24","M9"
2020,"f",2009,1.118912086,18,11,"Not pregnant",0,0,0,0,"no offspring","no offspring",0.98,"Not pregnant","no","change","n","pre","W70","M37"
2023,"f",2013,1.115361891,1,10,"Not pregnant",0,0,0,0,"no offspring","no offspring",1.11,"Not pregnant","no","change","n","pre","W82","M19"
2019,"f",1999,1.11377632,27,20,"Not pregnant",1,1,1,0,"yes","no",0.853333333,"Not pregnant","yes","y","y","pre","W24","M9"
2020,"f",2005,1.154543681,2,15,"Nursing 2",1,1,0,0,"no","no",0.98,"Nursing","yes","y","y","pre","W60","M23"
2018,"f",1999,1.106046832,3,19,"Not pregnant",1,1,1,0,"yes","no",0.8,"Not pregnant","yes","y","y","pre","W24","M9"
